1208,-1644,-17700,-387,491,-69
1352,-1800,-16728,-330,490,-70
1176,-1812,-17088,-328,545,-108
1252,-1800,-16964,-314,528,-89
1332,-1892,-16760,-332,512,-90
1292,-1912,-16832,-312,510,-101
1356,-1776,-16948,-345,479,-100
1052,-1636,-16676,-314,534,-47
948,-1748,-17000,-305,508,-88
1404,-1940,-17012,-306,509,-67
1216,-1844,-17004,-276,493,-85
1152,-1728,-16844,-302,529,-64
1220,-1972,-16896,-195,500,-99
1304,-1832,-16852,-372,494,-88
1212,-1732,-16904,-329,518,-68
1284,-1888,-16700,-404,622,-85
1000,-1736,-16988,-411,498,-123
1388,-1904,-16748,-259,496,-118
1220,-1800,-16984,-391,526,-92
1356,-1648,-17104,-268,488,-96
1484,-1924,-17156,-258,430,-54
1184,-1984,-17280,-239,564,-44
1192,-1620,-17340,-314,641,-191
1396,-1752,-17140,-275,602,-157
1120,-2028,-17080,-344,538,-91
1164,-1884,-16948,-319,510,-104
1464,-1604,-17320,-448,372,-87
1520,-2440,-16800,-231,265,-51
1204,-1920,-16880,-400,457,-82
1300,-1620,-16912,-366,402,-47
1272,-1880,-16620,-318,456,-70
1160,-1856,-16968,-327,502,-113
1344,-1716,-16996,-225,466,-108
1388,-1756,-16920,-420,532,-121
1392,-1876,-16744,-359,555,-67
1392,-1800,-16876,-419,539,-76
1132,-1868,-16896,-289,469,-102
1332,-1632,-16932,-311,498,-83
1364,-1744,-16872,-418,538,-96
1156,-1956,-16996,-407,543,-87
1324,-1792,-16960,-291,463,-114
1340,-1680,-16908,-338,530,-71
1268,-1784,-16792,-361,537,-97
1332,-1824,-16936,-245,443,-79
1276,-1868,-17044,-276,483,-78
1388764,-316,5,-1624,-1635,-71
1244,-1776,-16884,-347,513,-83
1200,-1804,-16976,-157,447,-106
1152,-1972,-16892,-334,476,-100
1200,-1864,-16840,-392,583,-73
1268,-1760,-17028,-450,590,-97
1344,-1840,-16784,-202,414,-86
1276,-1764,-16868,-353,498,-59
1300,-1816,-17012,-329,493,-74
1172,-1784,-16952,-328,477,-68
1192,-1928,-17872,-232,565,-49
1852,-1612,-15148,-427,351,0
1340,-1860,-17508,-644,440,-100
1364,-1784,-17508,-374,563,22
1480,-1740,-16120,-571,462,-124
1260,-1892,-17032,-301,455,-114
1188,-1724,-16876,-389,479,-92
1256,-1768,-16812,-350,416,-38
1248,-1884,-16752,-419,471,-101
1212,-1812,-17104,-399,594,-105
1264,-1844,-16928,-366,531,-82
1272,-1808,-16848,-351,541,-75
1364,-1792,-16780,-356,496,-91
1288,-1764,-16972,-330,463,-54
1288,-1816,-16884,-277,510,-56
1488,-1812,-16916,-340,492,-96
1169192,-1728,-64,-304,492,-86
876,-1556,-16996,-319,522,-96
1344,-1692,-16844,-295,513,-62
1316,-1932,-16928,-576,439,-74
1068,-1668,-16936,-343,377,-39
960,-1652,-17392,-407,328,-92
1468,-1712,-16896,-407,413,-58
1236,-1844,-16996,-264,422,-101
1180,-1892,-16836,-282,473,-92
1268,-1912,-16860,-269,456,-72
1304,-1636,-16796,-333,524,-70
1252,-1812,-16956,-363,526,-106
1192,-1968,-17016,-305,509,-110
1332,-1708,-16632,-396,486,-102
12162,490,-65,-1852,-16836,-349
12162,490,-65,-1852,-16836,-349
12162,490,-65,-1852,-16836,-349
1204,-1892,-16840,-371,515,-88
1216,-1776,-16892,-332,478,-79
1388,-1612,-16992,-271,510,-58
1184,-1660,-16944,-395,565,-71
1376,-1840,-16772,-327,473,-71
1184,-1776,-17044,-343,506,-97
1316,-1856,-16948,-346,494,-76
1300,-1676,-16988,-269,449,-72
1240,-1792,-17052,-320,496,-88
1324,-1832,-17072,-366,521,-96
1364,-1788,-16952,-272,483,-54
1292036,-345,,-1784,-17520,-81
1388,-1792,-17004,-327,502,-76
1236,-1880,-17068,-334,503,-52
1260,-1848,-16836,-326,505,-64
1288,-1764,-16864,-339,514,-90
1300,-1788,-17108,-314,501,-65
1280,-1928,-16788,-352,459,-77
1304,-1744,-16896,-308,504,-61
1260,-1796,-16892,-326,521,-84
-16956,-,1280,-1820329,518,-91
1304,-1672,-17140,-341,527,-69
1196,-1800,-16800,-349,475,-49
1260,-1744,-16944,-356,530,-83
1252,-1748,-16936,-301,526,-95
1196,-1868,-17036,-327,509,-84
1424,-1692,-16800,-339,518,-64
1292,-1792,-16868,-343,499,-94
1224,-1848,-16996,-309,538,-93
1308,-1752,-16748,-369,443,-65
1208,-1904,-17152,-375,490,-64
1944,-844,-16804,-800,781,-74
1512,-1856,-16580,-179,418,-41
1356,-1812,-16740,-348,410,-41
1116,-2044,-17124,-184,539,-126
1228,-1796,-17024,-250,555,-102
1248,-1608,-17164,-283,524,-73
1196,-1892,-16712,-362,494,-97
1184,-1708,-17220,-298,712,-168
1260,-1844,-17036,-329,514,-122
1332,-1756,-16964,-394,552,-72
1352,-1732,-16980,-301,485,-59
1260,-2016,-16872,-362,502,-101
1296,-1668,-17132,-343,509,-92
1180,-1820,-16968,-335,497,-96
1256,-1880,-16964,-370,514,-108
1256,-1880,-16964,-370,514,-108
1192,-1816,-16864,-355,494,-87
1348,-1704,-16876,-305,494,-90
1312,-1780,-17064,-320,496,-86
1256,-1900,-16892,-317,469,-69
1232,-1864,-16872,-330,535,-68
1332,-1772,-16900,-350,497,-87
1192,-1868,-17064,-339,499,-95
1256,-1692,-16884,-342,496,-57
1260,-1840,-17036,-333,514,-67
1372,-1704,-17048,-314,508,-106
1240,-1900,-16804,-328,488,-83
1300,-1640,-16932,-297,474,-66
1252,-1840,-16720,-314,494,-71
1296,-1696,-17004,-332,531,-88
1200,-1780,-16800,-332,488,-44
1232,-1860,-16836,-366,511,-67
1276,-1668,-16988,-341,489,-93
1300,-1796,-16752,-299,485,-52
1280,-1840,-16980,-345,523,-100
1332,-1724,-17072,-308,495,-115
1256,-1820,-16732,-348,494,-68
1296,-8,-16876,-182336,502,-58
1376,-1668,-17032,-338,535,-64
1316,-1804,-16888,-328,494,-74
1300,-1816,-16984,-304,516,-72
1236,-1756,-16848,-338,500,-94
1280,-1704,-16780,-312,504,-90
1340,-1800,-17124,-274,532,-109
1364,-1564,-16880,-261,511,-83
1332,-1724,-17020,-291,511,-62
1228,-1964,-16980,-368,534,-94
1256,-1820,-16860,-383,527,-128
1300,-1764,-16992,-291,471,-39
1360,-1728,-16836,-355,505,-95
1232,-1928,-16868,-331,495,-97
1324,-1888,-17004,-317,491,-68
1172,-1908,-16996,-339,506,-82
1308,-1664,-16900,-332,499,-86
1344,-1840,-16900,-309,495,-62
1268,-1816,-15347024,-317,,-83
1320,-1744,-16908,-333,495,-58
1128,-1840,-17044,-299,480,-69
1240,-1668,-17108,-327,501,-89
1292,-1768,-16984,-341,485,-79
1340,-1732,-16920,-310,515,-55
1232,-1696,-16876,-343,531,-102
1272,-1780,-16960,-320,497,-86
1280,-1756,-17036,-316,519,-72
1220,-1728,-16768,-322,493,-88
1300,-1760,-16912,-319,531,-80
6,-11352,-1616924,-332,531,-71
1292,-1728,-16944,-314,482,-66
1284,-1804,-16916,-312,532,-92
1228,-1816,-16932,-329,499,-80
1300,-1808,-16876,-319,469,-74
1340,-1804,-16760,-312,501,-82
1320,-1728,-16880,-332,494,-77
1268,-1804,-17084,-298,521,-105
1392,-1812,-16840,-335,507,-75
1248,-1840,-16968,-314,518,-68
0,520,-711196,-1772,-16924,-322
0,520,-711196,-1772,-16924,-322
0,520,-711196,-1772,-16924,-322
1176,-1708,-16984,-302,512,-88
1268,-1752,-16832,-304,546,-90
1256,-1824,-16984,-298,498,-73
1252,-1788,-16936,-324,524,-94
1268,-1860,-16912,-337,53,12925
1268,-1860,-16912,-337,53,12925
1196,-1796,-16936,-320,496,-70
1236,-1724,-16840,-338,523,-78
1308,-1880,-16748,-303,526,-76
1164,-1832,-16892,-233,541,-114
1364,-1712,-16832,-289,507,-76
1220,-1816,-16936,-316,509,-97
1176,-1752,-16948,-318,511,-104
11267,482,-44,-1848,-17004,-330
11267,482,-44,-1848,-17004,-330
11267,482,-44,-1848,-17004,-330
1408,-1804,-16904,-328,504,-72
1244,-1768,-17024,-320,527,-75
1344,-1744,-16916,-346,500,-71
1280,-1900,-16900,-350,514,-81
1312,-1796,-16912,-353,529,-66
1336,-1856,-16920,-334,551,-68
1300,-1900,-16928,-370,496,-75
1304,-1664,-16984,-326,537,-96
1328,-1696,-16932,-311,503,-69
1284,-1836,-16844,-357,488,-81
1300,-1684,-17016,-335,510,-78
1264,-1856,-16900,-323,479,-91
1324,-1876,-16908,-317,496,-92
1276,-1768,-16992,-327,528,-71
1372,-1800,-1736904,-349,4,-73
1248,-1764,-16844,-317,520,-112
1204,-1752,-16980,-350,517,-85
1364,-1680,-16784,-335,491,-80
1200,-1720,-17028,-328,505,-65
1240,-1804,-16800,-335,491,-78
1412,-1820,-16972,-318,482,-92
1332,-1876,-17124,-312,541,-104
1308,-1792,-16800,-290,494,-74
1220,-1712,-16880,-311,521,-80
1208,-1856,-17044,-348,500,-94
1356,-1704,-16928,-309,519,-89
1280,-1752,-17076,-324,528,-76
1168,-1712,-17060,-346,492,-92
1280,-1700,-16764,-355,520,-60
1240,-1772,-16976,-334,501,-72
1292,-1776,-16676,-446,406,-39
1332,-1696,-17024,-356,520,-95
1276,-1708,-16720,-336,479,-62
1104,-1880,-17112,-430,437,-68
1412,-1652,-16724,-428,422,-22
1348,-1908,-16904,-382,462,-57
1064,-1916,-16820,-324,521,-115
1396,-1608,-16984,-317,479,-81
1264,-1928,-16896,-300,485,-68
1156,-1876,-16972,-343,510,-97
1372,-1784,-16916,-326,486,-92
1160,-1792,-16984,-323,519,-67
1268,-1716,-16940,-362,497,-81
1312,-1696,-17076,-308,513,-56
1200,-1948,-17040,-300,533,-82
1368,-1668,-16992,-364,500,-89
1328,-1840,-16744,-337,495,-79
1164,-1872,-16800,-317,511,-89
1316,-1796,-16964,-324,522,-88
1288,-1772,-16888,-346,515,-60
1308,-1780,-16832,-348,520,-77
1352,-1772,-16904,-283,486,-66
1324,-1904,-16988,-328,475,-54
1304,-1828,-16912,-346,491,-51
1296,-1672,-16932,-294,456,-82
1136,-1836,-16836,-330,480,-73
1204,-1752,-16880,-316,474,-74
1296,-1780,-17000,-326,541,-99
1276,-1832,-16880,-330,496,-105
1300,-1784,-16892,-279,493,-98
1272,-1780,-16828,-94,374,-83
1304,-1812,-16880,-303,453,-70
1272,-1840,-16916,-277,511,-79
1304,-1780,-16912,-287,485,-84
1200,-1728,-16956,-290,500,-86
1384,-1784,-16824,-344,503,-67
1252,-1784,-16880,-337,483,-95
1244,-1692,-16932,-328,528,-95
