1956,-1852,-16956,-322,550,-70
1768,-1772,-17012,-321,484,-75
1912,-1796,-17012,-271,485,-42
1812,-1620,-16820,-287,458,-64
1844,-1784,-16844,-353,497,-73
1936,-1884,-17016,-262,501,-76
1792,-1780,-16812,-356,506,-80
1792,-1764,-17016,-341,530,-93
1876,-1872,-16968,-266,525,-87
1832,-1860,-16928,-358,492,-82
1864,-1868,-17068,-295,483,-81
1888,-1820,-17072,-298,494,-86
1844,-1776,-16940,-325,527,-79
1812,-1828,-16968,-313,479,-69
2016,-1724,-17052,-313,490,-85
1792,-1748,-16980,-337,488,-66
1932,-1712,-16960,-272,499,-65
1772,-1856,-17044,-316,510,-82
1748,-1768,-16728,-350,492,-87
1880,-1716,-16780,-276,507,-90
1840,-1892,-16992,-329,513,-67
1808,-1804,-16856,-326,479,-85
1948,-1904,-16992,-274,528,-66
1784,-1776,-16932,-360,493,-86
1868,-1780,-17012,-313,477,-82
1908,-1832,-17100,-280,506,-88
1808,-1772,-17048,-360,512,-81
1824,-1880,-17024,-280,488,-86
1920,-1756,-16812,-297,500,-95
1908,-1852,-16932,-331,491,-85
1824,-1688,-16980,-273,477,-75
1892,-1792,-16964,-336,521,-87
1824,-1856,-16912,-320,466,-112
1948,-1792,-16876,-299,481,-90
1876,-1752,-17064,-333,522,-68
1884,-1840,-16996,-311,495,-104
1880,-1900,-16820,-296,510,-76
1836,-1812,-17016,-348,492,-69
1920,-1712,-17152,-275,503,-79
1872,-1804,-16876,-311,512,-89
1892,-1860,-16988,-339,512,-95
1928,-1716,-16788,-304,508,-71
1772,-1784,-16952,-288,514,-62
1972,-1840,-16928,-371,509,-54
1776,-1788,-16936,-296,510,-70
1804,-1896,-17064,-327,511,-89
1844,-1792,-16876,-346,489,-79
1924,-1900,-16924,-278,482,-67
1892,-1748,-17072,-338,502,-60
1828,-1796,-17056,-336,505,-67
1876,-1832,-17116,-285,514,-91
1784,-1864,-16888,-330,514,-73
1772,-1840,-16812,-320,502,-62
1792,-1676,-17044,-296,505,-97
1864,-1740,-16908,-348,492,-88
1808,-1708,-16784,-299,475,-81
1872,-1812,-17080,-328,507,-106
1864,-1744,-17044,-353,496,-91
1912,-1840,-17104,-286,512,-88
1772,-1836,-16900,-318,508,-87
1948,-1780,-17080,-348,510,-53
1860,-1832,-16880,-320,497,-89
1800,-1744,-16908,-330,490,-78
1904,-1848,-17044,-310,519,-103
1900,-1816,-17012,-292,480,-93
1840,-1788,-17108,-350,494,-82
1808,-1800,-16972,-310,477,-82
1896,-1816,-17028,-280,506,-111
