1812,1572,-18116,-156,96,39
1844,1488,-18116,-163,108,-2
1832,1556,-18196,-148,90,1
1868,1504,-18236,-173,86,14
1788,1500,-18320,-144,77,-21
1796,1488,-18164,-149,71,6
1832,1488,-18328,-147,87,9
1848,1492,-18228,-161,83,2
1740,1600,-18280,-137,87,-4
1840,1528,-18212,-174,70,-15
1796,1524,-18200,-149,96,21
1720,1520,-18152,-158,72,-12
1816,1484,-18248,-134,91,9
1764,1604,-18328,-152,66,3
1800,1428,-18204,-152,82,10
1880,1548,-18412,-154,84,2
1808,1392,-18188,-150,74,9
1840,1516,-18268,-151,99,9
1800,1504,-18232,-157,106,-1
1880,1540,-18224,-145,76,2
1840,1524,-18368,-155,82,9
1796,1496,-18212,-137,90,-24
1860,1588,-18036,-177,126,11
1816,1416,-18348,-167,76,4
1784,1388,-18140,-158,101,15
1788,1472,-18112,-150,66,-9
1832,1524,-18224,-158,82,-2
1748,1460,-18108,-181,78,-6
1728,1504,-18140,-155,65,0
1824,1464,-18492,-142,96,-6
1824,1452,-18376,-147,101,9
1748,1472,-18140,-159,86,15
1720,1500,-18232,-148,82,-3
1796,1548,-18204,-151,48,-1
1856,1488,-18092,-165,47,1
1824,1444,-18256,-170,82,23
1856,1576,-18196,-171,99,-4
1772,1492,-18260,-156,74,-2
1820,1492,-18192,-166,83,2
1904,1444,-18324,-165,107,2
1780,1484,-18316,-156,82,1
1884,1544,-18108,-168,71,2
1852,1492,-18264,-159,85,-8
1892,1424,-18316,-139,50,2
1868,1572,-18296,-156,96,16
1812,1592,-18332,-167,50,-1
1768,1544,-18244,-162,80,-12
1824,1456,-18168,-141,71,-22
1868,1496,-18236,-172,87,5
1788,1512,-18080,-149,69,-7
180248,-4,1504,-18170,99,-3
1836,1504,-18300,-136,80,-9
1784,1516,-18164,-145,63,-3
1932,1496,-18064,-149,94,-22
1828,1576,-18248,-158,73,-5
1828,1472,-18296,-155,52,-12
1864,1612,-18180,-152,70,23
1812,1540,-18464,-157,93,-8
1896,1444,-18312,-152,83,-11
1808,1452,-18320,-154,72,2
1840,1536,-18140,-157,74,11
1888,1612,-18256,-159,95,-4
1852,1480,-18176,-155,72,-16
1828,1476,-18312,-157,92,-4
1852,1548,-18216,-154,78,9
1900,1488,-18296,-148,101,6
1784,1528,-18280,-155,94,0
1924,1524,-18140,-164,71,11
1772,1564,-18188,-160,76,21
1808,1424,-18308,-165,87,-28
