496,-1784,-16920,-331,471,-72
468,-1788,-16844,-324,471,-74
504,-1808,-16864,-339,454,-79
496,-1840,-16928,-350,453,-91
500,-1704,-16856,-314,483,-79
476,-1888,-16868,-344,482,-94
492,-1760,-16892,-336,457,-83
528,-1832,-16844,-318,480,-77
464,-1784,-16900,-338,486,-55
532,-1744,-16900,-311,486,-70
440,-1836,-16804,-351,470,-70
416,-1780,-16892,-346,453,-114
444,-1800,-16868,-316,470,-90
468,-1776,-16808,-331,465,-87
488,-1716,-16736,-310,489,-94
460,-1860,-16760,-318,459,-73
488,-1840,-16912,-345,459,-83
572,-1732,-16996,-333,457,-81
368,-1784,-16968,-349,486,-106
536,-1776,-17008,-333,462,-105
488,-1696,-16904,-332,465,-59
412,-1820,-16768,-325,477,-63
532,-1724,-16788,-347,470,-66
424,-1776,-16780,-346,455,-72
668,-1824,-16768,-354,475,-101
552,-1852,-16808,-351,468,-66
428,-1784,-16872,-344,487,-90
456,-1796,-16940,-342,469,-87
520,-1764,-16728,-346,480,-91
448,-1792,-16896,-327,468,-80
352,-1840,-16928,-346,455,-79
608,-1708,-16940,-331,459,-93
456,-1780,-16852,-322,489,-75
484,-1724,-16940,-327,457,-90
504,-1836,-16924,-331,469,-53
460,-1724,-16960,-368,475,-69
436,-1784,-16880,-338,453,-94
392,-1780,-16792,-324,469,-88
472,-1760,-17016,-335,482,-80
396,-1888,-16948,-324,490,-85
488,-1816,-16796,-332,492,-81
572,-1748,-16832,-341,456,-78
464,-1676,-16840,-329,474,-78
476,-1820,-16880,-351,482,-80
544,-1628,-16904,-346,476,-82
464,-1740,-16904,-332,475,-88
500,-1716,-16824,-348,439,-56
496,-1756,-16920,-342,479,-87
424,-1864,-16812,-338,506,-70
472,-1712,-16936,-334,467,-65
468,-1812,-16820,-309,484,-76
456,-1736,-16872,-344,471,-105
512,-1816,-16956,-328,508,-99
464,-1768,-16800,-370,484,-77
480,-1784,-16940,-335,480,-68
544,-1784,-16884,-294,472,-85
448,-1748,-16976,-358,484,-87
460,-1820,-16904,-303,488,-79
440,-1848,-16792,-343,449,-71
444,-1844,-16772,-333,481,-69
448,-1696,-16780,-327,474,-80
520,-1736,-16816,-348,467,-70
512,-1668,-16804,-329,449,-101
512,-1764,-16768,-337,478,-95
528,-1776,-17008,-333,457,-71
428,-1836,-16948,-335,478,-97
624,-1688,-16896,-341,441,-69
464,-1692,-17068,-333,448,-80
504,-1800,-16896,-330,441,-79
552,-1716,-16840,-332,460,-94
424,-1752,-16944,-338,479,-90
428,-1864,-16800,-358,477,-75
508,-1692,-16888,-341,456,-81
540,-1780,-16808,-314,467,-95
596,-1832,-17008,-348,471,-68
448,-1820,-16840,-336,463,-83
500,-1792,-17008,-392,470,-57
400,-1784,-16908,-373,459,-76
508,-1800,-16936,-321,472,-55
444,-1792,-16816,-346,459,-95
532,-1800,-17080,-355,492,-77
456,-1828,-16888,-325,461,-77
540,-1744,-16884,-332,462,-84
476,-1768,-16796,-319,466,-72
472,-1748,-16784,-370,461,-103
504,-1764,-16880,-330,461,-77
448,-1800,-16940,-347,468,-96
432,-1820,-16864,-334,468,-90
344,-1864,-16748,-324,472,-97
540,-1864,-16972,-377,458,-75
488,-1728,-16876,-340,451,-61
448,-1848,-16848,-349,464,-64
384,-1708,-16940,-348,471,-54
420,-1784,-16932,-340,486,-60
432,-1880,-16772,-352,458,-91
508,-1716,-16852,-330,456,-68
596,-1824,-16924,-320,472,-68
524,-1744,-16856,-334,502,-91
476,-1752,-16872,-338,469,-88
436,-1876,-16876,-352,481,-78
420,-1664,-16796,-334,497,-75
428,-1976,-16860,-339,470,-87
444,-1696,-16852,-365,470,-80
460,-1780,-16832,-339,498,-57
504,-1796,-16788,-370,467,-96
424,-1776,-16884,-343,448,-96
520,-1856,-16716,-330,454,-103
520,-1784,-16992,-354,484,-93
456,-1732,-16936,-318,470,-88
420,-1832,-16936,-343,486,-71
468,-1776,-16956,-366,453,-102
480,-1864,-16848,-335,477,-79
476,-1712,-17036,-336,484,-104
552,-1780,-16992,-333,468,-89
528,-1764,-17204,-497,456,-60
576,-1820,-16804,-375,445,-108
404,-1752,-16752,-367,454,-83
540,-1704,-16856,-339,459,-78
