1716,1872,-16480,-110,571,-81
1780,1976,-16728,-174,486,-89
1804,1996,-17176,-696,576,-121
1788,1888,-16748,-237,568,-83
1792,1932,-16804,-304,529,-95
1908,1964,-17088,-306,510,-82
1720,1848,-16680,-333,503,-97
1872,2020,-16780,-676,516,-98
1760,2052,-16896,-305,522,-77
1768,1804,-16832,416,470,-53
1920,1976,-16772,-1102,534,-113
1864,2032,-16940,-476,532,-101
1836,1880,-16876,540,462,-45
1832,1972,-16856,-1010,548,-96
1788,1932,-16876,-508,509,-98
1840,1948,-16884,402,477,-65
1860,1964,-16812,-843,518,-109
1780,1920,-16792,-459,499,-87
1828,1948,-16904,91,484,-71
1888,1996,-16976,-668,554,-103
1936,1896,-16716,-260,520,-113
18242,-,1952,-1699144,541,-60
1756,2032,-16800,-702,522,-85
1812,1916,-16808,-36,513,-102
1844,1892,-16980,-303,500,-76
1876,2076,-17040,-768,529,-84
1956,2012,-16812,-771,539,-117
1892,1876,-16956,8,516,-82
1932,1952,-16912,-235,508,-76
1816,1956,-16904,-704,537,-90
1824,2000,-16884,-127,502,-71
1828,1936,-16920,-255,507,-71
1792,1924,-16968,-480,515,-96
1824,1932,-16968,-310,510,-87
1764,1976,-16892,-336,535,-86
1716,2024,-16928,-246,499,-81
1856,2008,-16852,-474,508,-84
1824,1960,-17092,-390,510,-77
1760,1896,-16876,-122,499,-70
1828,1900,-16752,-485,541,-72
1888,2032,-16848,-442,521,-67
1832,1992,-16900,-217,510,-85
1884,1996,-16912,-386,512,-103
1872,1976,-16964,-303,505,-99
1844,1900,-16840,-384,532,-91
1852,1972,-16932,-254,521,-87
1748,2144,-16948,-368,527,-67
1772,1864,-16904,-415,494,-72
1760,1692,-15956,-222,536,-109
1848,2040,-17028,-432,522,-95
1832,2036,-16912,-417,528,-85
1844,1976,-16912,-308,503,-68
1804,2032,-16784,-327,511,-99
1800,1932,-16784,-359,528,-83
1920,1968,-16908,-315,527,-85
1796,1904,-16940,-300,521,-62
1900,1972,-16984,-332,528,-102
1776,1964,-16972,-436,531,-99
1768,1900,-16828,-183,519,-98
1784,2016,-16768,-576,535,-79
1728,1948,-16728,-275,522,-70
1816,1916,-16868,-170,502,-70
1916,1916,-16816,-574,543,-78
1692,1932,-16800,-254,510,-81
1800,2012,-17044,-239,536,-80
1668,1876,-16824,-535,523,-95
1844,1984,-17012,-226,504,-78
1832,2032,-16772,-377,533,-58
1812,1916,-16908,-359,503,-97
1820,1904,-16840,-196,494,-74
1800,1924,-16936,-315,520,-111
1812,1888,-16892,-402,516,-103
1816,1932,-16840,-264,512,-87
12,-276,517,844,1908,-16876
12,-276,517,844,1908,-16876
12,-276,517,844,1908,-16876
12,-276,517,844,1908,-16876
1824,1888,-16812,-334,514,-82
1692,1972,-16952,-317,487,-66
1748,1924,-16912,-358,495,-70
1720,184388,8,-16872,-512,-115
1864,2028,-16716,-378,519,-78
1864,2040,-16840,-210,537,-69
1768,1932,-16912,-360,494,-85
1872,2052,-16896,-358,525,-75
1888,1912,-16920,-316,520,-74
1800,1964,-16828,-368,502,-86
1760,1860,-16908,-360,526,-99
1808,1876,-16788,-328,512,-66
1760,1876,-16896,-367,537,-64
1772,1840,-16716,-366,514,-52
1708,1984,-16832,-364,505,-55
1828,1872,-16988,-250,514,-81
1168804,2060,-92,-431,511,-79
1832,1984,-16868,-405,534,-93
1828,1868,-16720,-116,514,-87
1864,1952,-16820,-599,499,-89
1812,1916,-16880,-430,517,-103
1748,1968,-16864,7,473,-93
1900,1976,-16840,-735,491,-109
1816,1896,-16992,-171,500,-70
1832,1912,-16820,-165,518,-106
1756,2068,-16836,533,-7288,-6
1748,1896,-16872,-72,484,-76
1824,2008,-16868,-358,518,-81
1804,1952,-16872,-545,538,-81
1756,1980,-16784,-149,504,-68
1768,1980,-16968,-475,508,-73
1844,1964,-16904,-276,520,-85
1896,1996,-16832,-308,508,-86
