-16200,-18160,-4800,32767,-30960,-5960
-4812,3528,-13532,32767,-28204,-23720
2420,32767,-568,29660,-32768,-32768
32767,32767,32767,-8516,32767,27930
-32768,-11768,-11464,-18902,-20898,8386
2528,9484,-14472,-3117,-3831,5231
3308,10020,-14228,-2374,-668,3626
1856,10096,-15204,-2156,1401,1894
3288,9624,-15140,-1454,2292,470
2896,9512,-15400,-4092,1178,-369
2824,8412,-15972,-5221,1621,-164
2416,9688,-15420,-9995,565,1298
3040,8776,-17852,-18752,3817,2713
-5628,6964,-26148,-32768,7581,-94
-15180,26296,-17404,-32768,-3453,5485
-20888,8396,-32768,-15980,32767,32767
-2136,-6180,-18876,16395,-32768,773
-484,2604,-17380,32767,7933,-7050
768,8080,-13036,32767,-23682,-9518
-1332,16436,-16360,32767,-19117,-6547
-3408,30168,-15220,32767,-18959,-28390
-1056,32767,328,31298,8419,-32768
27620,32767,23088,7084,-4505,-1085
10136,-2380,9252,-16632,6813,13564
28608,32767,-32768,19430,32767,32767
-368,10044,-17464,-518,5539,89
-1440,9772,-15320,-1101,1174,355
988,9232,-15772,-1747,199,1247
556,8824,-15364,-2674,-620,234
-696,9264,-15128,-3699,-69,993
492,9788,-14900,-3330,1131,2594
376,10024,-14388,-3356,23,3008
1384,9416,-15752,-4558,1124,5119
1932,8932,-16756,-7980,5437,5856
2852,9200,-20284,-19117,7054,4493
-2268,2996,-24100,-32768,9443,241
-7300,4616,-25284,-32768,32767,11944
-10444,16316,-30352,-32768,32767,32767
-10752,19112,-32768,32767,-32768,22067
-20252,14656,-5016,32767,-1582,-7883
-8660,20928,-6748,32767,-2685,-27109
-12872,31000,-11432,32767,-12796,-32768
-4484,32767,-2612,32767,-60,-32768
19724,32767,23740,4584,9913,-32768
-16588,32767,26504,-18455,-32768,1281
12696,-21728,-31248,-10261,32767,25737
2424,23692,-19588,-5168,7821,2231
-972,9616,-15460,-3127,-234,1577
2064,10360,-15300,-5063,1,2257
2168,9136,-15912,-5410,403,255
1504,10248,-13616,-6866,193,-428
600,10696,-13140,-6143,786,1369
2580,10872,-14396,-6232,2981,4221
3788,11384,-17296,-15345,9162,3678
-5888,7124,-26596,-32768,-4989,-5822
-212,32767,-32768,-32768,32767,9365
-3856,2508,-23484,8427,32767,1928
-7700,-4700,-11600,29889,21901,9940
-6532,-2516,-8100,32767,534,-13935
-1224,-208,-6592,32767,-1237,-21299
4840,10664,-8568,32767,-4717,-10435
10156,19504,-5304,32435,6372,-23616
19644,23528,-3500,28485,9612,-2810
9596,32032,-492,13176,-2020,21067
-2208,32036,1232,-4127,-7548,26807
-32768,-8892,-29992,-12480,-32768,8438
32767,32767,-32768,12438,32767,32767
5872,11380,-18840,-1158,5902,648
4508,8596,-17276,-1512,58,-524
